[[RANDOM]]
n    Bubble    Insertion    Merge    Heap   Quick    Counting
1000 0.021132   0.000047 0.000959 0.001492 0.019845 0.051410

2000 0.099508   0.000105 0.002272 0.003532 0.092319 0.211548

3000 0.245106   0.000158 0.003658 0.005873 0.212992 0.485675

4000 0.420438   0.000205 0.005107 0.007908 0.383925 0.889303

5000 0.710049   0.000313 0.007374 0.011555 0.647292 1.569675

6000 1.005243   0.000340 0.008137 0.012803 0.921869 2.080497

7000 1.466177   0.000403 0.009801 0.016249 1.274659 2.905009

8000 1.876500   0.000480 0.011579 0.018786 1.687591 3.862609

9000 2.533673   0.000548 0.013483 0.021819 2.211119 4.986363

10000 2.979680   0.000577 0.015068 0.024612 2.702773 6.306302

11000 3.689688   0.000652 0.016866 0.028484 3.193805 7.392065

12000 4.036550   0.000667 0.017583 0.027584 3.629242 8.157237

13000 4.956267   0.000725 0.018710 0.030813 4.243736 9.525678

14000 5.345187   0.000767 0.020291 0.032329 4.865277 13.352494

[[SORTED]]
n    Bubble    Insertion    Merge    Heap   Quick    Counting
1000 0.012054   0.000052 0.001113 0.001617 0.022315 0.000166

2000 0.058554   0.000106 0.002472 0.003667 0.095965 0.000314

3000 0.131622   0.000160 0.003909 0.005891 0.216550 0.000434

4000 0.237968   0.000214 0.005261 0.008012 0.388797 0.000621

5000 0.371862   0.000261 0.006546 0.010289 0.612569 0.000806

6000 0.537415   0.000339 0.008126 0.012695 0.882598 0.000883

7000 0.736730   0.000369 0.009496 0.015142 1.202359 0.001070

8000 0.961633   0.000423 0.010881 0.017384 1.573578 0.001308

9000 1.214961   0.000482 0.012632 0.020102 1.985141 0.001318

10000 1.502856   0.000547 0.013960 0.022393 2.452000 0.001605

11000 1.816185   0.000589 0.015570 0.024771 2.959306 0.001686

12000 2.163825   0.000655 0.016990 0.027451 3.520252 0.001925

13000 2.536798   0.000695 0.018515 0.029635 4.113243 0.001990

14000 2.949584   0.000747 0.019452 0.031769 4.794064 0.002266

[[NEARLY SORTED]]
n    Bubble    Insertion    Merge    Heap   Quick    Counting
1000 0.013038   0.000051 0.001064 0.001664 0.021730 0.000144

2000 0.062382   0.000104 0.002364 0.003564 0.093142 0.000305

3000 0.144988   0.000163 0.003822 0.005820 0.214945 0.000523

4000 0.261945   0.000218 0.005270 0.008038 0.390516 0.000637

5000 0.423958   0.000267 0.006540 0.010442 0.611029 0.000741

6000 0.601695   0.000326 0.008031 0.012745 0.882639 0.000969

7000 0.822629   0.000385 0.009742 0.015153 1.203982 0.001122

8000 1.076915   0.000448 0.011028 0.017391 1.571386 0.001296

9000 1.355920   0.000494 0.012542 0.020104 1.989290 0.001464

10000 1.675943   0.000544 0.013979 0.022408 2.456940 0.001608

11000 2.067554   0.000589 0.015593 0.025039 2.981442 0.001651

12000 2.411638   0.000626 0.017052 0.027596 3.538864 0.001869

13000 2.875911   0.000686 0.018363 0.030127 4.196327 0.001954

14000 3.280915   0.000739 0.019832 0.032284 4.789190 0.002238

[[REVERSE]]
n    Bubble    Insertion    Merge    Heap   Quick    Counting
1000 0.028445   0.000052 0.001071 0.001638 0.021678 0.000134

2000 0.128302   0.000102 0.002301 0.003601 0.094431 0.000303

3000 0.290058   0.000165 0.003665 0.005543 0.214445 0.000442

4000 0.523918   0.000213 0.004981 0.007973 0.385480 0.000624

5000 0.828607   0.000257 0.006430 0.010358 0.608368 0.000776

6000 1.204952   0.000336 0.007968 0.012764 0.881027 0.000950

7000 1.645739   0.000377 0.009349 0.015092 1.200877 0.001123

8000 2.128835   0.000416 0.010734 0.017666 1.564091 0.001270

9000 2.717207   0.000510 0.012205 0.020135 1.983239 0.001480

10000 3.358267   0.000520 0.013707 0.022526 2.457157 0.001476

11000 4.055215   0.000569 0.015314 0.024846 2.962192 0.001600

12000 4.834314   0.000621 0.016683 0.027139 3.526161 0.001871

13000 5.678732   0.000671 0.018181 0.029833 4.153593 0.002061

14000 6.585197   0.000760 0.019753 0.032363 4.794431 0.002198

